+--------+-------------+-------------+-------------+----------------+
|   Z    |      Up     |      U      |      F      |     Div F      |
| 0.0217 | 2.56169e-06 | 3.54304e-07 |  223.530213 |  10301.359758  |
| 0.0218 | 2.56169e-06 | 3.54303e-07 |  224.560350 |  10301.363228  |
| 0.0219 | 2.56169e-06 | 3.54302e-07 |  225.590488 |  10301.367720  |
| 0.022  | 2.56169e-06 | 3.54302e-07 |  226.620627 |  10301.370512  |
| 0.0221 | 2.56169e-06 | 3.54301e-07 |  227.650766 |  10301.374665  |
| 0.0222 | 2.56169e-06 |  3.543e-07  |  228.680905 |  10301.378139  |
| 0.0223 | 2.56169e-06 | 3.54299e-07 |  229.711044 |  10301.382635  |
| 0.0224 | 2.56169e-06 | 3.54299e-07 |  230.741184 |  10301.385431  |
| 0.0225 | 2.56169e-06 | 3.54298e-07 |  231.771325 |  10301.389588  |
| 0.0226 | 2.56169e-06 | 3.54297e-07 |  232.801466 |  10301.393066  |
| 0.0227 | 2.56169e-06 | 3.54296e-07 |  233.831607 |  10301.397225  |
| 0.0228 | 2.56169e-06 | 3.54296e-07 |  234.861749 |  10301.401046  |
| 0.0229 | 2.56169e-06 | 3.54295e-07 |  235.891891 |  10301.405207  |
| 0.023  | 2.56169e-06 | 3.54294e-07 |  236.922033 |  10301.409370  |
| 0.0231 | 2.56169e-06 | 3.54294e-07 |  237.952176 |  10301.413193  |
| 0.0232 | 2.56169e-06 | 3.54293e-07 |  238.982320 |  10301.416677  |
| 0.0233 | 2.56169e-06 | 3.54292e-07 |  240.012463 |  10301.421183  |
| 0.0234 | 2.56169e-06 | 3.54291e-07 |  241.042608 |  10301.425009  |
| 0.0235 | 2.56169e-06 | 3.54291e-07 |  242.072752 |  10301.428837  |
| 0.0236 | 2.56169e-06 |  3.5429e-07 |  243.102897 |  10301.432325  |
| 0.0237 | 2.56169e-06 | 3.54289e-07 |  244.133043 |  10301.436836  |
| 0.0238 | 2.56169e-06 | 3.54288e-07 |  245.163189 |  10301.441007  |
| 0.0239 | 2.56169e-06 | 3.54288e-07 |  246.193335 |  10301.444498  |
| 0.024  | 2.56169e-06 | 3.54287e-07 |  247.223482 |  10301.449012  |
| 0.0241 | 2.56169e-06 | 3.54286e-07 |  248.253629 |  10301.452506  |
| 0.0242 | 2.56169e-06 | 3.54285e-07 |  249.283777 |  10301.457362  |
| 0.0243 | 2.56169e-06 | 3.54284e-07 |  250.313925 |  10301.461199  |
| 0.0244 | 2.56169e-06 | 3.54284e-07 |  251.344074 |  10301.465376  |
| 0.0245 | 2.56169e-06 | 3.54283e-07 |  252.374223 |  10301.469215  |
| 0.0246 | 2.56169e-06 | 3.54282e-07 |  253.404372 |  10301.473736  |
| 0.0247 | 2.56169e-06 | 3.54281e-07 |  254.434522 |  10301.477577  |
| 0.0248 | 2.56169e-06 | 3.54281e-07 |  255.464673 |  10301.481760  |
| 0.0249 | 2.56169e-06 |  3.5428e-07 |  256.494824 |  10301.486284  |
| 0.025  | 2.56169e-06 | 3.54279e-07 |  257.524975 |  10301.490129  |
| 0.0251 | 2.56169e-06 | 3.54278e-07 |  258.555127 |  10301.494315  |
| 0.0252 | 2.56169e-06 | 3.54277e-07 |  259.585279 |  10301.499183  |
| 0.0253 | 2.56169e-06 | 3.54277e-07 |  260.615432 |  10301.503032  |
| 0.0254 | 2.56169e-06 | 3.54276e-07 |  261.645585 |  10301.507222  |
| 0.0255 | 2.56169e-06 | 3.54275e-07 |  262.675739 |  10301.511753  |
| 0.0256 | 2.56169e-06 | 3.54274e-07 |  263.705893 |  10301.515946  |
| 0.0257 | 2.56169e-06 | 3.54273e-07 |  264.736047 |  10301.519799  |
| 0.0258 | 2.56169e-06 | 3.54272e-07 |  265.766202 |  10301.524675  |
| 0.0259 | 2.56169e-06 | 3.54272e-07 |  266.796358 |  10301.528531  |
| 0.026  | 2.56169e-06 | 3.54271e-07 |  267.826514 |  10301.533069  |
| 0.0261 | 2.56169e-06 |  3.5427e-07 |  268.856671 |  10301.537609  |
| 0.0262 | 2.56169e-06 | 3.54269e-07 |  269.886828 |  10301.541809  |
| 0.0263 | 2.56169e-06 | 3.54268e-07 |  270.916985 |  10301.546011  |
| 0.0264 | 2.56169e-06 | 3.54267e-07 |  271.947143 |  10301.550555  |
| 0.0265 | 2.56169e-06 | 3.54267e-07 |  272.977301 |  10301.554759  |
| 0.0266 | 2.56169e-06 | 3.54266e-07 |  274.007460 |  10301.559305  |
| 0.0267 | 2.56169e-06 | 3.54265e-07 |  275.037620 |  10301.563853  |
| 0.0268 | 2.56169e-06 | 3.54264e-07 |  276.067780 |  10301.568062  |
| 0.0269 | 2.56169e-06 | 3.54263e-07 |  277.097940 |  10301.572272  |
| 0.027  | 2.56169e-06 | 3.54262e-07 |  278.128101 |  10301.577164  |
| 0.0271 | 2.56169e-06 | 3.54261e-07 |  279.158263 |  10301.581717  |
| 0.0272 | 2.56169e-06 | 3.54261e-07 |  280.188424 |  10301.585932  |
| 0.0273 | 2.56169e-06 |  3.5426e-07 |  281.218587 |  10301.590148  |
| 0.0274 | 2.56169e-06 | 3.54259e-07 |  282.248750 |  10301.594705  |
| 0.0275 | 2.56169e-06 | 3.54258e-07 |  283.278913 |  10301.599264  |
| 0.0276 | 2.56169e-06 | 3.54257e-07 |  284.309077 |  10301.604165  |
| 0.0277 | 2.56169e-06 | 3.54256e-07 |  285.339242 |  10301.608727  |
| 0.0278 | 2.56169e-06 | 3.54255e-07 |  286.369406 |  10301.612610  |
| 0.0279 | 2.56169e-06 | 3.54254e-07 |  287.399572 |  10301.617176  |
| 0.028  | 2.56169e-06 | 3.54253e-07 |  288.429738 |  10301.622423  |
| 0.0281 | 2.56169e-06 | 3.54253e-07 |  289.459904 |  10301.626651  |
| 0.0282 | 2.56169e-06 | 3.54252e-07 |  290.490071 |  10301.631561  |
| 0.0283 | 2.56169e-06 | 3.54251e-07 |  291.520239 |  10301.635451  |
| 0.0284 | 2.56169e-06 |  3.5425e-07 |  292.550407 |  10301.639684  |
| 0.0285 | 2.56169e-06 | 3.54249e-07 |  293.580575 |  10301.644939  |
| 0.0286 | 2.56169e-06 | 3.54248e-07 |  294.610744 |  10301.649515  |
| 0.0287 | 2.56169e-06 | 3.54247e-07 |  295.640914 |  10301.654093  |
| 0.0288 | 2.56169e-06 | 3.54246e-07 |  296.671084 |  10301.658672  |
| 0.0289 | 2.56169e-06 | 3.54245e-07 |  297.701255 |  10301.663934  |
| 0.029  | 2.56169e-06 | 3.54244e-07 |  298.731426 |  10301.668176  |
| 0.0291 | 2.56169e-06 | 3.54243e-07 |  299.761598 |  10301.672420  |
| 0.0292 | 2.56169e-06 | 3.54242e-07 |  300.791770 |  10301.677346  |
| 0.0293 | 2.56169e-06 | 3.54242e-07 |  301.821942 |  10301.681934  |
| 0.0294 | 2.56169e-06 | 3.54241e-07 |  302.852116 |  10301.686523  |
| 0.0295 | 2.56169e-06 |  3.5424e-07 |  303.882290 |  10301.691114  |
| 0.0296 | 2.56169e-06 | 3.54239e-07 |  304.912464 |  10301.695706  |
| 0.0297 | 2.56169e-06 | 3.54238e-07 |  305.942639 |  10301.700641  |
| 0.0298 | 2.56169e-06 | 3.54237e-07 |  306.972814 |  10301.705237  |
| 0.0299 | 2.56169e-06 | 3.54236e-07 |  308.002990 |  10301.709495  |
|  0.03  | 2.56169e-06 | 3.54235e-07 |  309.033167 |  10301.714775  |
| 0.0301 | 2.56169e-06 | 3.54234e-07 |  310.063344 |  10301.719036  |
| 0.0302 | 2.56169e-06 | 3.54233e-07 |  311.093521 |  10301.724320  |
| 0.0303 | 2.56169e-06 | 3.54232e-07 |  312.123699 |  10301.728925  |
| 0.0304 | 2.56169e-06 | 3.54231e-07 |  313.153878 |  10301.733531  |
| 0.0305 | 2.56169e-06 |  3.5423e-07 |  314.184057 |  10301.738140  |
| 0.0306 | 2.56169e-06 | 3.54229e-07 |  315.214237 |  10301.743091  |
| 0.0307 | 2.56169e-06 | 3.54228e-07 |  316.244417 |  10301.747703  |
| 0.0308 | 2.56169e-06 | 3.54227e-07 |  317.274598 |  10301.751977  |
| 0.0309 | 2.56169e-06 | 3.54226e-07 |  318.304779 |  10301.756933  |
| 0.031  | 2.56169e-06 | 3.54225e-07 |  319.334961 |  10301.761891  |
| 0.0311 | 2.56169e-06 | 3.54224e-07 |  320.365144 |  10301.766511  |
| 0.0312 | 2.56169e-06 | 3.54223e-07 |  321.395327 |  10301.771473  |
| 0.0313 | 2.56169e-06 | 3.54222e-07 |  322.425510 |  10301.775756  |
| 0.0314 | 2.56169e-06 | 3.54221e-07 |  323.455695 |  10301.780722  |
